league,team,jogos,ppg,vit%,emp%,der%,golos_marcados,golos_sofridos,diff_golos,marca%,CS%,BTTS%,O2.5%,U2.5%,remates,remates_sofridos,SOT,SOT_sofridos,cantos,cantos_sofridos,amarelos,amarelos_sofridos,gf_sum,ga_sum,shots_sum,shots_against_sum,sot_sum,conversion_rate,sot_pct,xg_impl,xg_overperf,defensive_solidity,scope
N1,Volendam,14,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.7857142857142857,0.5,2.0714285714285716,-1.5714285714285714,0.35714285714285715,0.0,0.35714285714285715,0.5714285714285714,0.42857142857142855,8.571428571428571,21.214285714285715,2.5714285714285716,7.857142857142857,2.9285714285714284,8.142857142857142,1.0,1.0714285714285714,7,29,120,297,36,0.058333333333333334,0.3,0.8485714285714286,-0.34857142857142864,0.09764309764309764,Fora
N1,Heracles,15,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.8666666666666667,0.8,3.0,-2.2,0.5333333333333333,0.0,0.5333333333333333,0.8,0.2,8.4,18.2,2.7333333333333334,7.2,4.066666666666666,7.0,2.533333333333333,0.9333333333333333,12,45,126,273,41,0.09523809523809523,0.3253968253968254,0.902,-0.10199999999999998,0.16483516483516483,Fora
P1,Porto,28,2.607142857142857,0.8214285714285714,0.14285714285714285,0.03571428571428571,2.0,0.4642857142857143,1.5357142857142858,0.9642857142857143,0.6428571428571429,0.35714285714285715,0.5714285714285714,0.42857142857142855,13.964285714285714,9.678571428571429,5.285714285714286,2.2142857142857144,5.357142857142857,3.0357142857142856,2.4285714285714284,2.9285714285714284,56,13,391,271,148,0.1432225063938619,0.37851662404092073,1.7442857142857144,0.25571428571428556,0.04797047970479705,Total
P1,Sp Lisbon,27,2.5185185185185186,0.7777777777777778,0.18518518518518517,0.037037037037037035,2.6666666666666665,0.6296296296296297,2.037037037037037,1.0,0.48148148148148145,0.5185185185185185,0.7037037037037037,0.2962962962962963,18.037037037037038,8.25925925925926,7.037037037037037,2.888888888888889,7.037037037037037,2.740740740740741,2.3703703703703702,2.740740740740741,72,17,487,223,190,0.14784394250513347,0.39014373716632444,2.3222222222222224,0.3444444444444441,0.07623318385650224,Total
P1,Benfica,28,2.357142857142857,0.6785714285714286,0.32142857142857145,0.0,2.107142857142857,0.6428571428571429,1.4642857142857142,0.9285714285714286,0.4642857142857143,0.5357142857142857,0.6785714285714286,0.32142857142857145,16.892857142857142,8.785714285714286,5.928571428571429,2.892857142857143,6.857142857142857,2.8214285714285716,2.0,2.892857142857143,59,18,473,246,166,0.12473572938689217,0.35095137420718814,1.9564285714285714,0.1507142857142858,0.07317073170731707,Total
P1,Sp Braga,27,1.8148148148148149,0.5185185185185185,0.25925925925925924,0.2222222222222222,2.0,1.0,1.0,0.8888888888888888,0.37037037037037035,0.5185185185185185,0.7037037037037037,0.2962962962962963,12.592592592592593,9.444444444444445,5.2592592592592595,3.259259259259259,5.518518518518518,2.925925925925926,2.111111111111111,2.5185185185185186,54,27,340,255,142,0.1588235294117647,0.4176470588235294,1.7355555555555555,0.2644444444444445,0.10588235294117647,Total
P1,Famalicao,28,1.6428571428571428,0.4642857142857143,0.25,0.2857142857142857,1.25,0.8571428571428571,0.39285714285714285,0.7142857142857143,0.5,0.32142857142857145,0.39285714285714285,0.6071428571428571,12.607142857142858,11.464285714285714,4.285714285714286,4.035714285714286,5.178571428571429,5.071428571428571,2.5714285714285716,2.3214285714285716,35,24,353,321,120,0.09915014164305949,0.33994334277620397,1.4142857142857144,-0.16428571428571437,0.07476635514018691,Total
P1,Gil Vicente,28,1.6071428571428572,0.42857142857142855,0.32142857142857145,0.25,1.5,1.0,0.5,0.7857142857142857,0.39285714285714285,0.4642857142857143,0.5,0.5,14.035714285714286,10.178571428571429,4.642857142857143,3.5714285714285716,5.571428571428571,3.7857142857142856,2.4285714285714284,2.357142857142857,42,28,393,285,130,0.10687022900763359,0.33078880407124683,1.532142857142857,-0.03214285714285703,0.09824561403508772,Total
P1,Estoril,28,1.3214285714285714,0.35714285714285715,0.25,0.39285714285714285,1.7857142857142858,1.6785714285714286,0.10714285714285714,0.7142857142857143,0.17857142857142858,0.5714285714285714,0.6785714285714286,0.32142857142857145,12.107142857142858,12.071428571428571,4.25,4.428571428571429,4.571428571428571,4.714285714285714,2.5,2.25,50,47,339,338,119,0.14749262536873156,0.35103244837758113,1.4025,0.38321428571428573,0.1390532544378698,Total
P1,Guimaraes,28,1.25,0.35714285714285715,0.17857142857142858,0.4642857142857143,1.2142857142857142,1.5,-0.2857142857142857,0.6428571428571429,0.2857142857142857,0.42857142857142855,0.5,0.5,13.428571428571429,11.321428571428571,3.9642857142857144,4.464285714285714,4.357142857142857,3.7857142857142856,2.3214285714285716,2.75,34,42,376,317,111,0.09042553191489362,0.29521276595744683,1.3082142857142858,-0.09392857142857158,0.13249211356466878,Total
P1,Moreirense,28,1.25,0.35714285714285715,0.17857142857142858,0.4642857142857143,1.1071428571428572,1.4285714285714286,-0.32142857142857145,0.6785714285714286,0.25,0.4642857142857143,0.5357142857142857,0.4642857142857143,8.75,13.464285714285714,3.2142857142857144,4.714285714285714,3.6785714285714284,4.678571428571429,2.5,2.0,31,40,245,377,90,0.12653061224489795,0.3673469387755102,1.0607142857142857,0.046428571428571486,0.10610079575596817,Total
P1,Alverca,28,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0357142857142858,1.6428571428571428,-0.6071428571428571,0.75,0.21428571428571427,0.5714285714285714,0.5357142857142857,0.4642857142857143,9.928571428571429,13.964285714285714,3.607142857142857,4.571428571428571,4.035714285714286,4.321428571428571,2.2857142857142856,2.392857142857143,29,46,278,391,101,0.10431654676258993,0.36330935251798563,1.190357142857143,-0.15464285714285708,0.11764705882352941,Total
P1,Arouca,28,1.1428571428571428,0.32142857142857145,0.17857142857142858,0.5,1.3214285714285714,2.0357142857142856,-0.7142857142857143,0.7142857142857143,0.21428571428571427,0.5357142857142857,0.6785714285714286,0.32142857142857145,10.392857142857142,13.714285714285714,3.5357142857142856,4.857142857142857,3.642857142857143,5.214285714285714,2.7857142857142856,2.392857142857143,37,57,291,384,99,0.12714776632302405,0.3402061855670103,1.1667857142857143,0.15464285714285708,0.1484375,Total
P1,Rio Ave,28,1.0714285714285714,0.25,0.32142857142857145,0.42857142857142855,1.0357142857142858,1.7142857142857142,-0.6785714285714286,0.6071428571428571,0.14285714285714285,0.5357142857142857,0.6428571428571429,0.35714285714285715,10.392857142857142,15.642857142857142,3.857142857142857,5.321428571428571,4.25,6.642857142857143,2.6785714285714284,2.3214285714285716,29,48,291,438,108,0.09965635738831616,0.3711340206185567,1.272857142857143,-0.2371428571428571,0.1095890410958904,Total
P1,Estrela,28,1.0,0.21428571428571427,0.35714285714285715,0.42857142857142855,1.1785714285714286,1.6785714285714286,-0.5,0.5714285714285714,0.25,0.4642857142857143,0.5357142857142857,0.4642857142857143,11.285714285714286,13.678571428571429,3.7142857142857144,4.678571428571429,3.5,5.535714285714286,2.5357142857142856,2.607142857142857,33,47,316,383,104,0.10443037974683544,0.3291139240506329,1.2257142857142858,-0.04714285714285715,0.1227154046997389,Total
P1,Santa Clara,28,1.0,0.25,0.25,0.5,0.9285714285714286,1.25,-0.32142857142857145,0.6428571428571429,0.2857142857142857,0.42857142857142855,0.35714285714285715,0.6428571428571429,11.892857142857142,10.0,3.392857142857143,3.607142857142857,4.607142857142857,4.357142857142857,2.9642857142857144,2.9285714285714284,26,35,333,280,95,0.07807807807807808,0.2852852852852853,1.1196428571428572,-0.19107142857142856,0.125,Total
P1,Casa Pia,27,0.9259259259259259,0.18518518518518517,0.37037037037037035,0.4444444444444444,1.0,1.8148148148148149,-0.8148148148148148,0.5555555555555556,0.18518518518518517,0.48148148148148145,0.48148148148148145,0.5185185185185185,8.444444444444445,14.592592592592593,2.740740740740741,4.814814814814815,3.5185185185185186,6.222222222222222,2.888888888888889,2.4444444444444446,27,49,228,394,74,0.11842105263157894,0.32456140350877194,0.9044444444444445,0.0955555555555555,0.12436548223350254,Total
P1,Nacional,28,0.8928571428571429,0.21428571428571427,0.25,0.5357142857142857,1.1071428571428572,1.3928571428571428,-0.2857142857142857,0.6785714285714286,0.17857142857142858,0.5357142857142857,0.4642857142857143,0.5357142857142857,12.678571428571429,14.178571428571429,4.178571428571429,4.5,4.321428571428571,6.071428571428571,2.9642857142857144,2.5357142857142856,31,39,355,397,117,0.08732394366197183,0.3295774647887324,1.3789285714285715,-0.2717857142857143,0.0982367758186398,Total
P1,Tondela,27,0.7407407407407407,0.14814814814814814,0.2962962962962963,0.5555555555555556,0.7037037037037037,1.6296296296296295,-0.9259259259259259,0.4074074074074074,0.18518518518518517,0.3333333333333333,0.5185185185185185,0.48148148148148145,10.407407407407407,13.222222222222221,3.3333333333333335,4.962962962962963,3.888888888888889,5.62962962962963,2.5185185185185186,2.259259259259259,19,44,281,357,90,0.06761565836298933,0.3202846975088968,1.1,-0.39629629629629637,0.12324929971988796,Total
P1,AVS,28,0.39285714285714285,0.03571428571428571,0.2857142857142857,0.6785714285714286,0.6428571428571429,2.1785714285714284,-1.5357142857142858,0.39285714285714285,0.14285714285714285,0.35714285714285715,0.6071428571428571,0.39285714285714285,10.642857142857142,14.678571428571429,2.857142857142857,5.214285714285714,3.5357142857142856,5.785714285714286,2.142857142857143,2.357142857142857,18,61,298,411,80,0.06040268456375839,0.2684563758389262,0.942857142857143,-0.30000000000000004,0.14841849148418493,Total
P1,Sp Lisbon,13,2.6153846153846154,0.8461538461538461,0.07692307692307693,0.07692307692307693,3.076923076923077,0.46153846153846156,2.6153846153846154,1.0,0.6923076923076923,0.3076923076923077,0.7692307692307693,0.23076923076923078,20.0,6.923076923076923,7.769230769230769,2.5384615384615383,7.0,2.230769230769231,1.6923076923076923,2.230769230769231,40,6,260,90,101,0.15384615384615385,0.38846153846153847,2.563846153846154,0.5130769230769232,0.06666666666666667,Casa
P1,Porto,14,2.5714285714285716,0.7857142857142857,0.21428571428571427,0.0,2.0714285714285716,0.42857142857142855,1.6428571428571428,0.9285714285714286,0.6428571428571429,0.35714285714285715,0.5714285714285714,0.42857142857142855,14.142857142857142,7.785714285714286,5.142857142857143,2.0714285714285716,5.357142857142857,2.7142857142857144,2.2142857142857144,2.857142857142857,29,6,198,109,72,0.14646464646464646,0.36363636363636365,1.6971428571428573,0.37428571428571433,0.05504587155963303,Casa
P1,Benfica,14,2.2857142857142856,0.6428571428571429,0.35714285714285715,0.0,2.357142857142857,0.7142857142857143,1.6428571428571428,1.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.2857142857142857,17.285714285714285,7.928571428571429,6.714285714285714,3.0,6.785714285714286,2.7857142857142856,1.7142857142857142,2.4285714285714284,33,10,242,111,94,0.13636363636363635,0.3884297520661157,2.2157142857142857,0.14142857142857146,0.09009009009009009,Casa
P1,Gil Vicente,14,1.9285714285714286,0.5714285714285714,0.21428571428571427,0.21428571428571427,1.7857142857142858,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.5,0.5,15.0,10.785714285714286,5.0,3.0,5.142857142857143,3.5,2.0714285714285716,2.2857142857142856,25,12,210,151,70,0.11904761904761904,0.3333333333333333,1.6500000000000001,0.13571428571428568,0.07947019867549669,Casa
P1,Famalicao,14,1.8571428571428572,0.5714285714285714,0.14285714285714285,0.2857142857142857,1.6428571428571428,0.6428571428571429,1.0,0.7857142857142857,0.6428571428571429,0.2857142857142857,0.5,0.5,14.357142857142858,10.571428571428571,5.142857142857143,3.7857142857142856,5.142857142857143,5.142857142857143,2.7142857142857144,2.357142857142857,23,9,201,148,72,0.11442786069651742,0.3582089552238806,1.6971428571428573,-0.05428571428571449,0.060810810810810814,Casa
P1,Sp Braga,13,1.8461538461538463,0.5384615384615384,0.23076923076923078,0.23076923076923078,2.1538461538461537,1.0,1.1538461538461537,0.8461538461538461,0.38461538461538464,0.46153846153846156,0.7692307692307693,0.23076923076923078,11.307692307692308,8.76923076923077,4.6923076923076925,3.0,5.153846153846154,3.076923076923077,2.0,2.6923076923076925,28,13,147,114,61,0.19047619047619047,0.41496598639455784,1.5484615384615386,0.6053846153846152,0.11403508771929824,Casa
P1,Guimaraes,15,1.6666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666,1.6,1.2,0.4,0.8,0.26666666666666666,0.6,0.6,0.4,13.533333333333333,11.666666666666666,4.266666666666667,4.133333333333334,4.4,4.266666666666667,2.466666666666667,3.066666666666667,24,18,203,175,64,0.11822660098522167,0.31527093596059114,1.4080000000000001,0.19199999999999995,0.10285714285714286,Casa
P1,Estoril,14,1.6428571428571428,0.42857142857142855,0.35714285714285715,0.21428571428571427,1.9285714285714286,1.3571428571428572,0.5714285714285714,0.7857142857142857,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.42857142857142855,12.214285714285714,10.714285714285714,4.642857142857143,4.5,4.785714285714286,5.071428571428571,2.642857142857143,1.8571428571428572,27,19,171,150,65,0.15789473684210525,0.38011695906432746,1.532142857142857,0.3964285714285716,0.12666666666666668,Casa
P1,Moreirense,14,1.4285714285714286,0.42857142857142855,0.14285714285714285,0.42857142857142855,1.1428571428571428,1.3571428571428572,-0.21428571428571427,0.7142857142857143,0.21428571428571427,0.5,0.5714285714285714,0.42857142857142855,8.642857142857142,13.357142857142858,2.857142857142857,4.642857142857143,4.071428571428571,5.642857142857143,2.5,1.7857142857142858,16,19,121,187,40,0.1322314049586777,0.3305785123966942,0.942857142857143,0.19999999999999984,0.10160427807486631,Casa
P1,Alverca,14,1.3571428571428572,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.8571428571428571,1.4285714285714286,-0.5714285714285714,0.7142857142857143,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.5714285714285714,11.0,12.642857142857142,3.7142857142857144,4.071428571428571,4.285714285714286,2.642857142857143,1.9285714285714286,1.9285714285714286,12,20,154,177,52,0.07792207792207792,0.33766233766233766,1.2257142857142858,-0.36857142857142866,0.11299435028248588,Casa
P1,Arouca,14,1.2857142857142858,0.35714285714285715,0.21428571428571427,0.42857142857142855,1.5,1.9285714285714286,-0.42857142857142855,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.2857142857142857,10.5,13.785714285714286,4.214285714285714,4.5,3.9285714285714284,6.071428571428571,3.357142857142857,2.7857142857142856,21,27,147,193,59,0.14285714285714285,0.4013605442176871,1.3907142857142858,0.10928571428571421,0.13989637305699482,Casa
P1,Estrela,14,1.2142857142857142,0.2857142857142857,0.35714285714285715,0.35714285714285715,1.4285714285714286,1.5,-0.07142857142857142,0.6428571428571429,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,14.142857142857142,12.214285714285714,4.214285714285714,4.142857142857143,3.857142857142857,4.571428571428571,2.5,2.642857142857143,20,21,198,171,59,0.10101010101010101,0.29797979797979796,1.3907142857142858,0.03785714285714281,0.12280701754385964,Casa
P1,Santa Clara,14,1.2142857142857142,0.35714285714285715,0.14285714285714285,0.5,0.9285714285714286,1.0,-0.07142857142857142,0.6428571428571429,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.6428571428571429,11.285714285714286,8.857142857142858,3.2142857142857144,3.2142857142857144,4.714285714285714,4.428571428571429,3.5,3.0714285714285716,13,14,158,124,45,0.08227848101265822,0.2848101265822785,1.0607142857142857,-0.13214285714285712,0.11290322580645161,Casa
P1,Casa Pia,13,1.0,0.15384615384615385,0.5384615384615384,0.3076923076923077,1.3076923076923077,1.7692307692307692,-0.46153846153846156,0.6923076923076923,0.07692307692307693,0.6923076923076923,0.38461538461538464,0.6153846153846154,7.769230769230769,14.076923076923077,2.6923076923076925,4.615384615384615,2.8461538461538463,6.3076923076923075,2.8461538461538463,2.3846153846153846,17,23,101,183,35,0.16831683168316833,0.3465346534653465,0.8884615384615385,0.4192307692307692,0.12568306010928962,Casa
P1,Nacional,14,1.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.3571428571428572,1.5,-0.14285714285714285,0.6428571428571429,0.21428571428571427,0.5,0.5714285714285714,0.42857142857142855,12.5,15.928571428571429,4.0,4.642857142857143,4.785714285714286,6.928571428571429,3.2857142857142856,3.0714285714285716,19,21,175,223,56,0.10857142857142857,0.32,1.32,0.037142857142857144,0.09417040358744394,Casa
P1,Rio Ave,14,0.9285714285714286,0.21428571428571427,0.2857142857142857,0.5,1.0,1.6428571428571428,-0.6428571428571429,0.5714285714285714,0.14285714285714285,0.5,0.6428571428571429,0.35714285714285715,11.5,15.142857142857142,4.071428571428571,5.214285714285714,4.928571428571429,5.785714285714286,2.5714285714285716,2.2142857142857144,14,23,161,212,57,0.08695652173913043,0.35403726708074534,1.3435714285714286,-0.34357142857142864,0.10849056603773585,Casa
P1,Tondela,14,0.6428571428571429,0.07142857142857142,0.42857142857142855,0.5,0.6428571428571429,1.2142857142857142,-0.5714285714285714,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.6428571428571429,11.428571428571429,14.0,3.357142857142857,4.928571428571429,3.7857142857142856,5.714285714285714,2.4285714285714284,2.2857142857142856,9,17,160,196,47,0.05625,0.29375,1.1078571428571429,-0.46499999999999997,0.08673469387755102,Casa
P1,AVS,14,0.5,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.7142857142857143,1.7142857142857142,-1.0,0.42857142857142855,0.14285714285714285,0.35714285714285715,0.5,0.5,11.214285714285714,13.571428571428571,3.4285714285714284,4.928571428571429,3.642857142857143,5.214285714285714,2.5,3.0,10,24,157,190,48,0.06369426751592357,0.3057324840764331,1.1314285714285715,-0.41714285714285715,0.12631578947368421,Casa
P1,Porto,14,2.642857142857143,0.8571428571428571,0.07142857142857142,0.07142857142857142,1.9285714285714286,0.5,1.4285714285714286,1.0,0.6428571428571429,0.35714285714285715,0.5714285714285714,0.42857142857142855,13.785714285714286,11.571428571428571,5.428571428571429,2.357142857142857,5.357142857142857,3.357142857142857,2.642857142857143,3.0,27,7,193,162,76,0.13989637305699482,0.39378238341968913,1.7914285714285716,0.137142857142857,0.043209876543209874,Fora
